lsoa_code,lsoa_name_1,lsoa_name_2,middle_layer_super_output_area_msoa_code,middle_layer_super_output_area_msoa_name,local_authority_la_code,local_authority_la_name,rural_urban,rural_urban_classification,built_up_area_bua_code,built_up_area_bua_name,economic_region_economic_action_plan_area_eap_code,number_of_children_0_to_5_2020,number_of_births_2020_to_mothers_24_and_under_years,number_of_births_2020_to_mothers_25_to_34_years,number_of_births_2020_to_mothers_35_and_over_years,total_number_of_births_2020,population_2020_all_ages,birth_rate_per_1000_2020,number_of_births_2019_to_mothers_24_and_under_years,number_of_births_2019_to_mothers_25_to_34_years,number_of_births_2019_to_mothers_35_and_over_years,total_number_of_births_2019,population_2019_all_ages,birth_rate_per_1000_2019,number_of_births_2018_to_mothers_24_and_under_years,number_of_births_2018_to_mothers_25_to_34_years,number_of_births_2018_to_mothers_35_and_over_years,total_number_of_births_2018,population_2018_all_ages,birth_rate_per_1000_2018,number_of_births_2017_to_mothers_24_and_under_years,number_of_births_2017_to_mothers_25_to_34_years,number_of_births_2017_to_mothers_35_and_over_years,total_number_of_births_2017,population_2017_all_ages,birth_rate_per_1000_2017,wimd_decile,wimd_income_deprivation_count_0_to_4,wimd_income_domain_deciles,wimd_income_domain_people_in_income_deprivation_percentage,wimd_employment_domain_deciles,wimd_employment_domain_working_age_people_in_employment_deprivation_percentage,wimd_health_domain_deciles,wimd_health_domain_gp_recorded_chronic_condition_rate_per_100,wimd_health_domain_limiting_long_term_illness_rate_per_100,"wimd_health_domain_premature_death_rate_per_100,000",wimd_health_domain_gp_recorded_mental_health_condition_rate_per_100,"wimd_health_domain_cancer_incidence_rate_per_100,000",wimd_health_domain_low_birth_weight_live_single_births_less_than_2.5kg_percentage,wimd_health_domain_children_aged_4_to_5_who_are_obese_percentage,wimd_education_domain_deciles,wimd_education_domain_foundation_phase_average_point_score,wimd_education_domain_key_stage_2_average_point_score,wimd_education_domain_key_stage_4_average_point_score,wimd_education_domain_repeat_absenteeism_percentage,wimd_education_domain_key_stage_4_leavers_entering_higher_education_percentage,wimd_education_domain_adults_aged_25_to_64_with_no_qualifications_percentage,wimd_access_to_services_domain_deciles,wimd_access_to_services_domain_percentage_unavailability_of_broadband_at_30mb_s,wimd_access_to_services_domain_average_public_return_travel_time_to_a_pharmacy_mins,wimd_access_to_services_domain_average_public_return_travel_time_to_a_food_shop_mins,wimd_access_to_services_domain_average_public_return_travel_time_to_a_gp_surgery_mins,wimd_access_to_services_domain_average_public_return_travel_time_to_a_post_office_mins,wimd_access_to_services_domain_average_public_return_travel_time_to_a_primary_school_mins,wimd_access_to_services_domain_average_public_return_travel_time_to_a_public_library_mins,wimd_access_to_services_domain_average_public_return_travel_time_to_a_sports_facility_mins,wimd_access_to_services_domain_average_public_return_travel_time_to_a_secondary_school_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_pharmacy_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_food_shop_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_gp_surgery_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_post_office_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_primary_school_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_public_library_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_sports_facility_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_secondary_school_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_petrol_station_mins,wimd_housing_domain_deciles,wimd_housing_domain_people_in_overcrowded_households_percentage,wimd_housing_domain_likelihood_of_poor_quality_housing_percentage,wimd_housing_domain_likelihood_of_housing_containing_serious_hazards_percentage,wimd_housing_domain_likelihood_of_housing_being_in_disrepair_percentage,wimd_physical_environment_domain_deciles,wimd_physical_environment_domain_population_weighted_average_concentration_value_for_no2,wimd_physical_environment_domain_population_weighted_average_concentration_value_for_particulates__less_than_10_microm,wimd_physical_environment_domain_population_weighted_average_concentration_value_for_particulates_less_than_2_point_5_micro_m,wimd_physical_environment_domain_households_at_risk_of_flooding_score,wimd_physical_environment_domain_proximity_to_accessible_natural_green_space_score_percentage_of_households,wimd_physical_environment_domain_ambient_green_space_score,wimd_community_safety_domain_deciles,wimd_community_safety_domain_police_recorded_criminal_damage_rate_per_100,wimd_community_safety_domain_police_recorded_violent_crime_rate_per_100,wimd_community_safety_domain_anti_social_behaviour_rate_per_100,wimd_community_safety_domain_police_recorded_burglary_rate_per_100,wimd_community_safety_domain_police_recorded_theft_rate_per_100,wimd_community_safety_domain_fire_incidences_rate_per_100,change_birth_rates_18to20,change_birth_rates_17to20,mean_fpp_score,mean_fpp_score_rounded,fpp_mean_difference,fpp_performance
W01000126,Colwyn 1,Conwy 009A,W02000035,Conwy 009,W06000003,Conwy,Urban,Large Town (Less Sparse),W38000120,Colwyn Bay BUASD,WXX000001,84,4,11,3,18,1627,11.06,4,11,0,15,1632,9.19,4,7,3,14,1629,8.59,2,9,5,16,1596,10.03,8,24.3,6,12,7,7,7,12.6,18.9,317.3,24.5,594.5,6.8,,8,104,88,121,3,43.3,9.2,10,3.4,20,20,22,24,25,35,36,37,2,2,3,3,4,13,8,7,4,5,3.83,22.8,20.3,4.3,10,8.2,8.7,5.8,12,80.3,0.327,4,1.18,3.34,3.46,0.79,,,Consistently increasing,Increasing (2018-20),106.3036649,106,-2.303664921,Other
W01000127,Colwyn 2,Conwy 009B,W02000035,Conwy 009,W06000003,Conwy,Urban,Large Town (Less Sparse),W38000120,Colwyn Bay BUASD,WXX000001,108,4,10,2,16,1252,12.78,3,9,2,14,1214,11.53,2,15,0,17,1211,14.04,8,6,2,16,1168,13.7,1,50.96,1,35,1,22,2,19.5,23.5,474.2,36.8,682.8,3.9,,3,104,82,117,9.4,20.5,24.4,6,4.2,21,20,24,25,26,40,37,38,4,4,4,5,5,14,11,10,6,6,7.02,12,11.1,2,9,10.8,10.1,6.6,9.5,87.3,0.301,3,1.47,4.67,2.84,,,,Other,Other,100.5078534,101,3.492146597,Other
W01000128,Colwyn 3,Conwy 009C,W02000035,Conwy 009,W06000003,Conwy,Urban,Large Town (Less Sparse),W38000120,Colwyn Bay BUASD,WXX000001,87,4,6,5,15,1405,10.68,0,6,4,10,1383,7.23,2,10,7,19,1359,13.98,2,11,4,17,1348,12.61,7,18.36,5,16,5,11,6,14.2,21.8,323.5,27.4,555.7,5.2,,9,109,90,128,3.2,53.6,14.9,9,0.1,19,18,21,22,27,34,33,33,2,2,3,3,5,12,8,7,4,5,5.26,17.8,16.4,3.8,10,10.7,9.7,6.3,5.2,98.5,0.275,3,1.47,3.68,4.1,0.87,,0.37,Other,Other,105.3403141,105,3.659685864,Other
W01000129,Conwy 1,Conwy 012B,W02000038,Conwy 012,W06000003,Conwy,Rural,Small Town and Fringe (Less Sparse),W37000038,Conwy BUA,WXX000001,49,2,3,1,6,1119,5.36,0,12,0,12,1135,10.57,1,5,2,8,1109,7.21,5,5,1,11,1093,10.06,4,26.24,3,24,4,13,5,16.2,19,394.7,25.5,691.4,4.9,,6,102,87,128,5.2,28.7,17.3,5,0.4,25,28,26,29,37,29,45,24,6,5,7,5,10,8,9,3,11,9,3.98,10.9,10.1,2.1,3,7.3,7.9,5.1,65.9,100,0.307,4,1.2,3.16,2.68,,,0.55,Other,Other,103.2931937,103,-1.293193717,Other
W01000130,Conwy 2,Conwy 012C,W02000038,Conwy 012,W06000003,Conwy,Rural,Small Town and Fringe (Less Sparse),W37000038,Conwy BUA,WXX000001,75,2,3,1,6,1876,3.2,0,8,3,11,1869,5.89,2,4,3,9,1848,4.87,0,11,3,14,1874,7.47,9,5.85,8,8,8,6,10,9.4,17.5,309.5,16.7,531,7,,9,105,95,129,2.6,32.8,12.2,10,0.8,22,17,21,21,22,26,37,33,4,2,3,4,6,6,9,6,10,7,2.88,23.5,21.2,4.1,8,5.9,7.5,5,29,98.9,0.319,4,1.33,3.13,3.1,,0.27,,Other,Other,107.0104712,107,-2.010471204,Other
W01000131,Conwy 3,Conwy 012D,W02000038,Conwy 012,W06000003,Conwy,Rural,Small Town and Fringe (Less Sparse),W37000038,Conwy BUA,WXX000001,151,1,12,5,18,2166,8.31,0,7,5,12,2075,5.78,3,10,0,13,2065,6.3,2,9,4,15,2090,7.18,9,19.08,8,9,9,5,9,9.2,19.4,297.9,17.5,508,6,,5,104,87,115,5.6,27.9,14.2,6,2.1,30,22,24,30,27,37,54,45,6,3,3,6,6,8,10,8,12,9,2.88,11.6,10.4,1.6,10,5.2,7.3,4.9,2.1,95.8,0.338,8,0.54,1.41,1.05,,,,Other,Other,107.0104712,107,-3.010471204,Other
W01000132,Craig-y-Don 1,Conwy 001A,W02000027,Conwy 001,W06000003,Conwy,Urban,Large Town (Less Sparse),W37000243,Llandudno BUA,WXX000001,72,4,8,3,15,1513,9.91,3,5,3,11,1566,7.02,3,3,2,8,1571,5.09,2,14,1,17,1576,10.79,4,14.88,4,18,2,17,6,13.6,22.1,429.2,27.9,531.9,3.4,,6,105,89,117,7,42.6,16.4,9,0,19,17,20,20,23,31,19,36,2,1,2,2,3,9,2,7,4,5,3.79,23.5,21.6,4.8,5,6.8,7.8,5.2,47,100,0.202,4,1.36,3.08,3.94,0.62,,,Consistently increasing,Increasing (2018-20),103.2931937,103,1.706806283,Other
W01000133,Craig-y-Don 2,Conwy 002A,W02000028,Conwy 002,W06000003,Conwy,Urban,Large Town (Less Sparse),W37000243,Llandudno BUA,WXX000001,59,2,6,3,11,1891,5.82,2,3,3,8,1907,4.2,3,3,3,9,1947,4.62,2,3,2,7,1906,3.67,9,11.5,8,8,9,5,9,10.4,16.9,262.2,20.8,514.3,6.5,,7,105,85,119,3.8,46.1,9.3,8,21.2,22,23,23,24,25,36,24,43,3,3,4,4,3,10,4,8,5,9,2.99,11.8,11.1,2.2,8,6.4,7.9,5.2,26.7,92.6,0.291,7,0.71,1.8,1.83,0.65,,,Other,Other,107.0104712,107,-2.010471204,Other
W01000134,Crwst,Conwy 015B,W02000041,Conwy 015,W06000003,Conwy,Rural,Small Town and Fringe (Sparse),W37000258,Llanrwst BUA,WXX000001,134,5,10,2,17,2150,7.91,7,11,3,21,2088,10.06,5,9,1,15,2081,7.21,7,11,9,27,2137,12.63,6,25.76,5,16,5,10,7,12,21.4,427.3,24.6,534.1,2.7,,6,103,88,128,4.4,29.6,20.1,3,2.5,33,29,30,31,33,45,31,45,3,3,3,4,4,5,3,8,6,5,6.59,13.7,12.3,3,6,4.1,7,4.7,42.6,85,0.251,7,0.72,2.04,1.72,0.43,,,Other,Other,104.5767196,105,-1.576719577,Other
W01000135,Deganwy 1,Conwy 006A,W02000032,Conwy 006,W06000003,Conwy,Urban,Large Town (Less Sparse),W38000142,Llandudno Junction BUASD,WXX000001,67,0,4,0,4,2143,1.87,2,4,1,7,2158,3.24,2,6,4,12,2185,5.49,2,4,3,9,2117,4.25,10,0,9,6,8,5,10,10.1,16.2,255.8,19.2,535,4.3,,10,108,90,133,2.4,62.3,6.8,9,0.1,28,23,28,32,30,40,32,34,5,3,5,8,7,12,6,8,10,10,1.42,10.1,9.4,1.6,9,6,7.5,5,10.5,39.4,0.275,10,0.3,0.72,0.66,,,,Consistently decreasing,Decreasing (2018-20),108.0789474,108,-0.078947368,Other
W01000136,Deganwy 2,Conwy 006B,W02000032,Conwy 006,W06000003,Conwy,Urban,Large Town (Less Sparse),W38000142,Llandudno Junction BUASD,WXX000001,159,3,9,3,15,2747,5.46,2,7,8,17,2736,6.21,1,7,2,10,2711,3.69,4,6,3,13,2693,4.83,9,15.12,7,10,8,6,10,8.2,18.6,317.8,14.6,619.4,6.8,,5,106,85,113,5.7,37.3,15.1,8,0,23,23,24,30,24,35,31,38,4,4,4,9,4,11,7,11,9,8,2.6,18,15.7,3.3,10,7.5,7.8,5.2,12.9,98.7,0.258,8,0.53,1.38,1.14,,,0.33,Other,Other,107.0104712,107,-1.010471204,Other
W01000137,Eglwysbach,Conwy 015C,W02000041,Conwy 015,W06000003,Conwy,Rural,Village Hamlet and Isolated Dwellings (Less Sparse),Small,Dispersed (not in a BUA),WXX000001,61,1,7,0,8,1534,5.22,1,4,2,7,1516,4.62,0,5,2,7,1524,4.59,0,3,5,8,1516,5.28,7,11.05,9,7,9,5,10,9.5,16.9,250,19.6,434.7,6.3,,9,102,88,132,1.1,50.8,12,1,57,142,133,122,101,75,151,152,155,22,18,17,9,7,21,21,27,21,2,3.26,41,38.4,5.3,7,3.8,6.8,4.6,30.6,22.3,0.371,9,0.37,1.09,0.56,0.73,,0.46,Consistently increasing,Increasing (2018-20),105.3403141,105,-3.340314136,Other
W01000138,Eirias 1,Conwy 008A,W02000034,Conwy 008,W06000003,Conwy,Urban,Large Town (Less Sparse),W38000120,Colwyn Bay BUASD,WXX000001,129,4,16,4,24,1794,13.38,4,12,2,18,1770,10.17,7,13,2,22,1755,12.54,5,11,3,19,1692,11.23,4,30.26,3,22,2,16,4,15.4,20.7,429.1,34.5,634.6,3.7,,6,107,88,120,4.9,36.7,15.9,3,0.1,27,24,41,36,53,46,70,71,5,4,7,5,3,12,7,6,4,7,4.55,13.4,12.1,2.1,10,6.7,7.9,5.4,9.9,93.7,0.344,4,1.27,3.4,2.68,0.66,0.3,,Other,Other,103.2931937,103,3.706806283,Outperforming
W01000139,Eirias 2,Conwy 007A,W02000033,Conwy 007,W06000003,Conwy,Urban,Large Town (Less Sparse),W38000120,Colwyn Bay BUASD,WXX000001,97,2,14,2,18,1438,12.52,1,13,1,15,1419,10.57,0,8,6,14,1422,9.85,0,7,0,7,1417,4.94,9,17.82,7,11,8,5,7,14.8,18.7,289.6,26.3,514.7,2.7,,8,106,83,127,2.3,47.1,10.4,10,0,23,18,29,22,21,30,30,27,3,2,5,3,3,10,5,3,2,8,2.38,20.8,18.5,4.3,10,10.6,9,6.1,10.3,97,0.286,2,1.84,2.94,3.98,0.91,0.33,0.32,Consistently increasing,Increasing (2017-20),107.0104712,107,-1.010471204,Other
W01000140,Gele 1,Conwy 010B,W02000036,Conwy 010,W06000003,Conwy,Urban,Large Town (Less Sparse),W38000117,Abergele BUASD,WXX000001,114,2,17,3,22,1715,12.83,6,12,3,21,1687,12.45,5,8,1,14,1611,8.69,4,9,1,14,1539,9.1,4,48.6,3,23,4,12,7,11.5,22.2,229.1,28.3,488.9,8.6,,4,103,86,115,6.4,21.5,19.1,3,5.7,35,31,40,36,34,39,43,42,5,5,12,4,5,9,5,5,6,3,6.76,19.6,18.1,3.8,10,7.2,8.7,5.7,12.2,91.3,0.273,3,1.5,5.23,,1.45,,0.65,Consistently increasing,Increasing (2018-20),103.2931937,103,-0.293193717,Other
W01000141,Gele 2,Conwy 010C,W02000036,Conwy 010,W06000003,Conwy,Urban,Large Town (Less Sparse),W38000117,Abergele BUASD,WXX000001,69,1,10,5,16,1611,9.93,5,10,3,18,1617,11.13,2,7,2,11,1608,6.84,0,7,1,8,1622,4.93,9,5.46,7,10,7,7,8,12,19.2,245.9,18.9,614.7,5.9,,8,107,85,135,3.6,49.3,17.3,6,0,26,26,28,28,34,27,40,35,4,4,5,5,9,3,9,9,9,10,2.35,8,7.4,0.5,10,5.8,8.1,5.5,4.7,33.4,0.261,8,0.63,1.36,,1.04,,,Other,Other,107.0104712,107,-0.010471204,Other
W01000142,Gele 3,Conwy 010D,W02000036,Conwy 010,W06000003,Conwy,Urban,Large Town (Less Sparse),W38000117,Abergele BUASD,WXX000001,44,0,4,4,8,1490,5.37,0,2,1,3,1466,2.05,0,6,2,8,1487,5.38,0,6,4,10,1508,6.63,10,1.72,10,5,9,5,8,12.3,19.1,251.9,20.8,623.3,2.2,,9,107,94,120,2.5,47.7,10.2,5,0.9,31,31,36,32,39,39,90,52,6,6,7,5,9,5,8,8,8,10,3.47,5.9,5.4,0.5,10,5.3,7.8,5.3,2.1,44.2,0.3,9,0.47,1.11,,0.72,,,Other,Other,108.0789474,108,-1.078947368,Other
W01000143,Glyn (Conwy) 1,Conwy 007B,W02000033,Conwy 007,W06000003,Conwy,Urban,Large Town (Less Sparse),W38000120,Colwyn Bay BUASD,WXX000001,111,3,16,7,26,1538,16.91,3,13,5,21,1519,13.82,7,13,5,25,1550,16.13,2,7,7,16,1551,10.32,3,35,3,22,3,15,4,14.6,22.6,451,27.3,561.8,8.6,,4,100,84,112,7.5,35.4,16.6,6,0,23,19,28,20,26,22,30,29,5,2,9,4,3,4,4,4,3,1,10.76,32.8,29.6,6.2,9,9.4,8.6,5.9,2.1,12.9,0.269,3,1.49,4.72,4.42,1.11,0.32,,Other,Other,102.7225131,103,-2.722513089,Other
W01000144,Glyn (Conwy) 2,Conwy 007C,W02000033,Conwy 007,W06000003,Conwy,Urban,Large Town (Less Sparse),W38000120,Colwyn Bay BUASD,WXX000001,104,14,14,4,32,1367,23.41,7,6,1,14,1345,10.41,16,17,3,36,1353,26.61,8,10,6,24,1348,17.8,1,58.71,1,43,1,36,1,22.1,29,798.5,40.3,729.9,7.3,,2,100,82,107,9.4,24.7,20.9,5,0,20,18,26,20,21,21,29,28,3,1,7,3,2,3,3,4,3,1,8.97,29.6,26.9,5.8,10,10.1,8.7,6,12,86.7,0.236,1,4.95,14.19,22.98,2.07,0.87,0.59,Other,Other,100.5078534,101,-0.507853403,Other
W01000145,Glyn (Conwy) 3,Conwy 008B,W02000034,Conwy 008,W06000003,Conwy,Urban,Large Town (Less Sparse),W38000120,Colwyn Bay BUASD,WXX000001,74,4,2,3,9,1262,7.13,2,4,2,8,1247,6.42,1,7,1,9,1263,7.13,2,6,4,12,1298,9.24,5,19.44,4,20,4,12,5,13.2,23.4,433.7,29.7,539.9,4.8,,5,104,85,114,6.6,38.3,16.1,5,1,29,24,33,28,25,31,28,28,7,3,9,6,3,7,3,3,4,7,4.94,14.3,13.3,2.1,8,6.9,8,5.4,27.6,91.2,0.35,3,1.56,3.86,3.23,1.06,0.35,,Other,Other,103.6368421,104,0.363157895,Other
W01000146,Gogarth 1,Conwy 001B,W02000027,Conwy 001,W06000003,Conwy,Urban,Large Town (Less Sparse),W37000243,Llandudno BUA,WXX000001,62,3,5,4,12,1970,6.09,6,7,1,14,2028,6.9,4,8,4,16,2070,7.73,7,10,3,20,2054,9.74,4,27.36,4,17,3,14,6,12.6,21.3,471.6,24.5,586.4,3.1,,7,105,91,118,3.3,41.5,16.1,5,0,22,18,29,21,23,23,31,39,3,2,6,4,3,4,8,8,8,1,7.97,38.1,34.5,6.6,7,5.8,7.4,5,35.8,84.5,0.223,1,2.09,6.63,8.61,1.48,0.27,0.41,Consistently decreasing,Decreasing (2017-20),103.2931937,103,1.706806283,Other
W01000147,Gogarth 2,Conwy 001C,W02000027,Conwy 001,W06000003,Conwy,Urban,Large Town (Less Sparse),W37000243,Llandudno BUA,WXX000001,60,0,2,0,2,1507,1.33,1,3,1,5,1518,3.29,2,9,3,14,1504,9.31,2,3,0,5,1457,3.43,6,7.14,5,15,6,9,7,13.7,18.7,273.4,23.4,542.4,2.9,,7,105,91,116,4.2,52.1,17.3,3,4.7,33,26,31,27,30,34,50,49,6,3,5,4,5,7,8,9,10,6,4.94,15.5,14.1,2.7,6,5.2,7.3,4.9,42.3,100,0.212,5,0.92,2.68,2.93,0.83,,0.75,Consistently decreasing,Decreasing (2018-20),104.5767196,105,0.423280423,Other
W01000148,Gower (Conwy),Conwy 015D,W02000041,Conwy 015,W06000003,Conwy,Rural,Small Town and Fringe (Sparse),W37000258,Llanrwst BUA,WXX000001,80,5,11,2,18,1138,15.82,3,8,2,13,1121,11.6,3,12,2,17,1160,14.66,2,7,2,11,1162,9.47,7,18.63,5,14,7,7,6,12.6,20.9,384.8,20.9,653.9,6,,5,106,87,115,4.2,27,24,6,0.8,25,25,23,26,27,26,28,73,5,4,4,5,6,3,6,11,9,6,4.24,19.3,17.9,3.9,8,4.1,6.9,4.6,25.2,77.7,0.263,7,0.69,2.02,1.72,,,,Other,Other,105.3403141,105,0.659685864,Other
W01000149,Kinmel Bay 1,Conwy 005A,W02000031,Conwy 005,W06000003,Conwy,Urban,Large Town (Less Sparse),W38000010,Kinmel Bay BUASD,WXX000001,80,3,4,1,8,1511,5.29,2,14,1,17,1509,11.27,5,8,1,14,1497,9.35,8,10,1,19,1507,12.61,2,23.4,2,24,2,16,2,18.1,28.7,550.7,30.5,643.6,6.6,,1,103,83,105,12.3,22.1,38.6,7,0.3,24,20,24,24,31,25,31,58,3,2,4,4,5,6,5,17,5,5,6.78,14.5,12.1,2.6,3,6.2,8.4,5.6,62.6,85,0.193,2,1.85,6.8,,3.08,0.57,0.33,Other,Other,102.0890052,102,0.910994764,Other
W01000150,Kinmel Bay 2,Conwy 005B,W02000031,Conwy 005,W06000003,Conwy,Urban,Large Town (Less Sparse),W38000010,Kinmel Bay BUASD,WXX000001,63,1,7,1,9,1481,6.08,3,6,2,11,1472,7.47,5,6,5,16,1475,10.85,0,7,2,9,1459,6.17,5,17.22,4,18,5,10,5,15.5,23,343.6,29.5,692.1,3.8,,4,102,83,115,4.6,33.1,23.5,3,7.3,33,35,52,53,85,71,67,144,5,4,6,6,6,8,5,17,8,10,4.57,4.4,3.9,0.3,2,6.1,8.6,5.8,79.5,68,0.27,5,1.05,2.88,,1.25,0.45,,Consistently decreasing,Decreasing (2018-20),103.6368421,104,-1.636842105,Other
W01000151,Kinmel Bay 3,Conwy 005C,W02000031,Conwy 005,W06000003,Conwy,Urban,Large Town (Less Sparse),W38000010,Kinmel Bay BUASD,WXX000001,122,4,4,2,10,1601,6.25,9,7,2,18,1621,11.1,4,10,3,17,1613,10.54,7,10,4,21,1637,12.83,3,30.13,3,21,4,13,3,18,28.3,395.2,28.3,607.7,6.3,,3,104,85,112,7,21.2,24.5,4,0.6,33,22,38,39,31,43,24,134,4,3,6,6,4,7,3,18,7,8,6.8,7.5,6.9,0.6,3,6,8.6,5.7,68.1,86.1,0.271,3,1.71,5.2,,2.03,0.44,,Other,Other,102.7225131,103,1.277486911,Other
W01000152,Kinmel Bay 4,Conwy 005D,W02000031,Conwy 005,W06000003,Conwy,Urban,Large Town (Less Sparse),W38000010,Kinmel Bay BUASD,WXX000001,77,8,7,1,16,1486,10.77,5,4,1,10,1430,6.99,6,13,1,20,1486,13.46,3,7,3,13,1476,8.81,4,22.72,4,19,3,13,3,17.2,26.5,457.5,30.3,587.5,6.7,,3,102,84,118,8.3,29,25.1,8,4.1,21,20,21,21,38,20,30,58,3,4,3,3,8,3,8,14,5,9,4.01,8,7.2,1.1,3,6.6,8.2,5.6,60.7,98.9,0.216,5,1.13,2.91,,1.57,0.46,0.41,Other,Other,103.2931937,103,-1.293193717,Other
W01000153,Llanddulas,Conwy 009D,W02000035,Conwy 009,W06000003,Conwy,Rural,Small Town and Fringe (Less Sparse),Small,Dispersed (not in a BUA),WXX000001,73,2,0,2,4,1651,2.42,3,4,4,11,1631,6.74,6,7,5,18,1610,11.18,5,6,3,14,1657,8.45,7,11.9,7,10,6,9,6,13.4,20.3,317,27.5,544,5.6,,6,105,85,121,3.3,26.7,12.9,4,4.8,39,32,42,31,44,47,63,62,7,4,8,3,4,10,14,14,4,7,3.45,19.2,17.9,3,10,7.4,9,5.6,9.8,96.7,0.341,5,0.91,1.87,1.72,2.73,0.32,0.27,Consistently decreasing,Decreasing (2018-20),105.3403141,105,-0.340314136,Other
W01000154,Llandrillo yn Rhos 1,Conwy 003A,W02000029,Conwy 003,W06000003,Conwy,Urban,Large Town (Less Sparse),W38000120,Colwyn Bay BUASD,WXX000001,75,2,6,2,10,1449,6.9,0,3,2,5,1400,3.57,0,9,1,10,1431,6.99,1,2,3,6,1420,4.23,10,2.56,9,7,9,5,8,11.3,19.7,257.8,22.8,537.8,2.3,,9,106,90,123,1.7,57.4,11.6,7,20.1,32,23,35,27,29,33,35,52,6,3,6,5,5,7,5,9,9,9,2.25,14.8,13.1,2.4,10,8,8.2,5.4,2.1,48.4,0.352,8,0.68,1,1.51,1.07,,,Other,Other,108.0789474,108,-2.078947368,Other
W01000155,Llandrillo yn Rhos 2,Conwy 004A,W02000030,Conwy 004,W06000003,Conwy,Urban,Large Town (Less Sparse),W38000120,Colwyn Bay BUASD,WXX000001,53,0,5,6,11,1429,7.7,2,3,1,6,1431,4.19,1,2,0,3,1442,2.08,2,2,4,8,1454,5.5,9,5.55,7,11,6,8,8,12.2,19.9,343.2,19.3,568.4,2.6,,9,107,91,136,3.5,57.5,10.2,10,0.5,19,19,26,22,26,28,32,37,2,3,4,3,5,8,6,10,10,8,2.23,21.3,18.6,4.4,9,8.7,8.2,5.5,11.4,61.1,0.259,6,0.86,1.97,2.09,0.97,,,Consistently increasing,Increasing (2018-20),107.0104712,107,-0.010471204,Other
W01000156,Llandrillo yn Rhos 3,Conwy 004B,W02000030,Conwy 004,W06000003,Conwy,Urban,Large Town (Less Sparse),W38000120,Colwyn Bay BUASD,WXX000001,29,1,4,0,5,1520,3.29,0,3,2,5,1543,3.24,1,3,2,6,1522,3.94,0,7,1,8,1502,5.33,8,3,6,13,6,8,8,11.4,19.9,332.6,19.5,599.2,3.7,,10,110,91,130,2.7,70.5,10.6,7,0,23,19,31,23,29,32,31,44,3,2,7,3,5,8,7,10,8,9,3.28,12.3,11,2.4,7,6.3,7.7,5.2,34.7,100,0.212,6,0.94,2.82,2.47,0.62,,,Other,Other,106.3036649,106,3.696335079,Other
W01000157,Llandrillo yn Rhos 4,Conwy 004C,W02000030,Conwy 004,W06000003,Conwy,Urban,Large Town (Less Sparse),W38000120,Colwyn Bay BUASD,WXX000001,106,3,9,2,14,1471,9.52,5,11,4,20,1474,13.57,2,9,3,14,1484,9.43,10,15,2,27,1455,18.56,4,31,3,24,3,15,5,12.8,23.7,558.8,26.3,691.1,6.9,,5,103,87,115,6.5,32.3,15.9,5,0,26,20,30,26,21,30,29,45,4,3,7,4,3,7,5,9,8,6,4.85,15.9,13.9,3.3,6,7.1,8.1,5.5,38.1,97.1,0.25,4,1.19,4.03,2.55,0.73,,0.31,Other,Other,103.2931937,103,-0.293193717,Other
W01000158,Llandrillo yn Rhos 5,Conwy 004D,W02000030,Conwy 004,W06000003,Conwy,Urban,Large Town (Less Sparse),W38000120,Colwyn Bay BUASD,WXX000001,47,2,6,1,9,1561,5.77,2,5,1,8,1562,5.12,1,4,1,6,1526,3.93,3,5,3,11,1574,6.99,8,11.73,7,11,6,8,8,12.2,19.3,295.9,20.4,565.6,5.6,,8,107,88,127,4.6,52.2,12.5,7,3.6,30,21,31,27,25,28,28,50,5,2,6,5,4,5,3,7,7,9,2.55,14.2,12.9,2.3,9,7.5,8.2,5.5,2.1,18,0.277,6,0.7,2.49,2.37,1.12,,,Consistently increasing,Increasing (2018-20),106.3036649,106,0.696335079,Other
W01000159,Llangernyw,Conwy 014B,W02000040,Conwy 014,W06000003,Conwy,Rural,Village Hamlet and Isolated Dwellings (Less Sparse),Small,Dispersed (not in a BUA),WXX000001,104,2,8,3,13,1428,9.1,0,9,5,14,1409,9.94,2,11,4,17,1395,12.19,0,11,4,15,1371,10.94,6,9.13,8,9,9,5,8,12,18.3,343,18.6,486,3.1,,7,109,91,119,5.3,38.3,13.9,1,57.2,156,108,141,101,105,154,179,166,30,8,18,6,7,26,29,32,22,1,6.76,43.8,40.8,5.7,9,3.5,6.8,4.6,20.1,41.1,0.408,10,,0.98,0.55,,,0.36,Consistently decreasing,Decreasing (2018-20),104.5767196,105,4.423280423,Other
